Name,Review,Date
Robert Lucas,"I visited the Pizza Hut in New Lexington Ohio, the first indication that I should leave was there was no other people in the dining area. The pizza was absolutely terrible, the crust was like they threw the crust away and kept the cardboard. They're cutter wouldn't even cut through it. And when I told the waitress she said yes I know this. But didn't do anything about it. This used to be a really good place to eat but now its like everything else in this world it's a big rip off and it's garbage. I will never spend another penny at Pizza Hut. And I will tell everybody I can about my experience and hopefully they will boycott pizza hut also.|Useful|Share",11-Nov-23
Larry Schmidt,the pizza hut in chickasha okla has a waiter/whatever carrying a open gun on his side while serving customers|Useful|Share,3-Nov-23
customer,We booked a table for 7pm. Arrived on time. Ordered. Took until 8:10pm to bring the food. The restaurant was only half full. Shocking. No sense they cared. Just told that there were a lot of orders. Clearly Pizza Hit are putting delivery orders ahead of people sitting in the restaurant. Terrible customer care.|Useful|Share,16-Nov-23
Imran Akmal,"Been ordering from pizza hut for over 35 years, however will be no more. Service has become pathetic and substandard, they charge for delivery which takes even longer then it used to when it was free half the time they send deliveroo riders on bikes that take nearly an hour. The customer service on social just ignores you when you have a complaint and local pizza hut doesn't even answer the phone. No wonder they are going out of business|Useful|Share",14-Oct-23
AMIT EATS,The taste is great and that is the reason why I go back to it. Every time you order you are given bonus slices but every time you try to re order and redeem the slices are not in your account. That is a complete con and a disgrace. Have previously contacted customer services but they are absolutely nightmare. Also ordered 4 pizza and the toppings are minimum and also there were slices which hardly had any toppings. Will change to another joint.|Useful|Share,19-Oct-23
Suzy D,"Paid £58:99 ordered in hut, pizza dough so thin it was transparent. Special meal surprise for grandchildren. So thin and crispy they couldn’t even bite it. Topping was so minimal with no taste. Never again to pay good money for this rubbish food.I have pictures if needed|Useful|Share",7-Nov-23
STEVE FOLEY,"Not all good. What on earth are the senior management doing? A side of chips is £5.29. Garlic bread £6.39, More expensive than the expensive gastro pubs in this part of the UK. No wonder the company is struggling, with the need to enforce closures.Get real - price your products sensibly.|Useful|Share",27-Oct-23
CW,"Order never arrived despite ringing 3 times in a 2 and a half hour period. 3 hours later they ring to say they are ourside the door and they weren't even there, non stop phone calls to say they were outside and despite standing on the door step in the rain with no one there they argued they were. Unacceptable customer service from the branch who advised to log a complaint online, which is impossible without inside leg measurement! And then had the cheek to say 48 hours before a refund would be considered. The delivery driver who never arrived and argued they were at the right address (when they weren't) couldn't initiate a refund, why? Very poor customer service and won't be ordering or dining out here again. 3 decades of loyalty over other pizza options, and a massive disappointment that this couldn't have been dealt with easily.Shame as for a treat PH would be a go to option, despite living in a sleepy part of the UK it usually arrives cold and late, but normally we accept this but not any more, far too many bad experiences with the expectation they will do better never met.|Useful|Share",9-Nov-23
Angela Rolle,"I've never been to this Pizza Hut. However, i was impressed when told about the BOGOF (buy one get one free) offer and the lovely member for staff  who provided great customer service! I really enjoyed my pizza too!|Useful|Share",22-Oct-23
ZAVJLSJTS,"I’ve never done a trust pilot before but just thought I’d share my thoughts. I crave Pizza Hut stuffed crust a hand full of times a year. Every time I try to pay, it always says invalid payment method. Every single time I go to Dominos and put the same payment info in, it goes through. So every time I eat pizza, it’s from dominos. It’s just a regular card with the same information but Dominos always charges me and delivers to me, instead of Pizza Hut just rejecting my payment. I’m prob never ordering from Pizza Hut again since this problem occurs every time. Just thought I’d share. Wish you could take my hard earned money to eat your pizza, but I’ll stick with Dominos.|Useful|Share",2-Nov-23
Samantha short,We celebrated my daughters birthday and had around 25 children present for her party. Decided to treat them with pizza’s. Pizza Hut managed to get the large order to our address on time and the food itself was top quality. Enjoyed it so much that ordered again the following day and they did not disappoint. In addition they provided extra sauces and some drinks free. Very friendly person who took our order over the phone and delivery man was amazing.|Useful|Share,23-Oct-23
Joel Burman,"Why does Pizza Hut exist? It's so much worse, and yet more expensive, than Dominos or Papa John's. I mean, it's absolute, dog sheet. Flavourless, clumsily thrown together, missing sauces, just absolutely terrible pizza.|Useful|Share",18-Oct-23
